,Name,Win,Lost,Win Rate,Game Behind,Points Per Game,Opponent Points Per Game,Simple Rating System(SRS),Year
0,Toronto Raptors,48,34,.585,—,101.3,98.0,2.55,2014
1,Brooklyn Nets,44,38,.537,4.0,98.5,99.5,-1.58,2014
2,New York Knicks,37,45,.451,11.0,98.6,99.4,-1.40,2014
3,Boston Celtics,25,57,.305,23.0,96.2,100.7,-4.97,2014
4,Philadelphia 76ers,19,63,.232,29.0,99.5,109.9,-10.66,2014
5,Indiana Pacers,56,26,.683,—,96.7,92.3,3.63,2014
6,Chicago Bulls,48,34,.585,8.0,93.7,91.8,1.20,2014
7,Cleveland Cavaliers,33,49,.402,23.0,98.2,101.5,-3.86,2014
8,Detroit Pistons,29,53,.354,27.0,101.0,104.7,-4.13,2014
9,Milwaukee Bucks,15,67,.183,41.0,95.5,103.7,-8.41,2014
10,Miami Heat,54,28,.659,—,102.2,97.4,4.15,2014
11,Washington Wizards,44,38,.537,10.0,100.7,99.4,0.48,2014
12,Charlotte Bobcats,43,39,.524,11.0,96.9,97.1,-0.89,2014
13,Atlanta Hawks,38,44,.463,16.0,101.0,101.5,-0.88,2014
14,Orlando Magic,23,59,.280,31.0,96.5,102.0,-5.88,2014
15,Oklahoma City Thunder,59,23,.720,—,106.2,99.8,6.66,2014
16,Portland Trail Blazers,54,28,.659,5.0,106.7,102.8,4.44,2014
17,Minnesota Timberwolves,40,42,.488,19.0,106.9,104.3,3.10,2014
18,Denver Nuggets,36,46,.439,23.0,104.4,106.5,-1.40,2014
19,Utah Jazz,25,57,.305,34.0,95.0,102.2,-6.27,2014
20,Los Angeles Clippers,57,25,.695,—,107.9,101.0,7.27,2014
21,Golden State Warriors,51,31,.622,6.0,104.3,99.5,5.15,2014
22,Phoenix Suns,48,34,.585,9.0,105.2,102.6,3.02,2014
23,Sacramento Kings,28,54,.341,29.0,100.5,103.4,-2.08,2014
24,Los Angeles Lakers,27,55,.329,30.0,103.0,109.2,-5.33,2014
25,San Antonio Spurs,62,20,.756,—,105.4,97.6,8.00,2014
26,Houston Rockets,54,28,.659,8.0,107.7,103.1,5.06,2014
27,Memphis Grizzlies,50,32,.610,12.0,96.1,94.6,2.18,2014
28,Dallas Mavericks,49,33,.598,13.0,104.8,102.4,2.91,2014
29,New Orleans Pelicans,34,48,.415,28.0,99.7,102.4,-1.98,2014
30,Toronto Raptors,49,33,.598,—,104.0,100.9,2.45,2015
31,Boston Celtics,40,42,.488,9.0,101.4,101.2,-0.40,2015
32,Brooklyn Nets,38,44,.463,11.0,98.0,100.9,-3.13,2015
33,Philadelphia 76ers,18,64,.220,31.0,92.0,101.0,-9.04,2015
34,New York Knicks,17,65,.207,32.0,91.9,101.2,-9.50,2015
35,Cleveland Cavaliers,53,29,.646,—,103.1,98.7,4.08,2015
36,Chicago Bulls,50,32,.610,3.0,100.8,97.8,2.54,2015
37,Milwaukee Bucks,41,41,.500,12.0,97.8,97.4,-0.09,2015
38,Indiana Pacers,38,44,.463,15.0,97.3,97.0,-0.23,2015
39,Detroit Pistons,32,50,.390,21.0,98.5,99.5,-1.39,2015
40,Atlanta Hawks,60,22,.732,—,102.5,97.1,4.75,2015
41,Washington Wizards,46,36,.561,14.0,98.5,97.8,0.17,2015
42,Miami Heat,37,45,.451,23.0,94.7,97.3,-2.92,2015
